DATE	FEDFUNDS	MCOILWTICO	OILPRICE	UNRATE
1952-03-01			2.570	2.9
1952-04-01			2.570	2.9
1952-05-01			2.570	3.0
1952-06-01			2.570	3.0
1952-07-01			2.570	3.2
1952-08-01			2.570	3.4
1952-09-01			2.570	3.1
1952-10-01			2.570	3.0
1952-11-01			2.570	2.8
1952-12-01			2.570	2.7
1953-01-01			2.570	2.9
1953-02-01			2.570	2.6
1953-03-01			2.570	2.6
1953-04-01			2.570	2.7
1953-05-01			2.570	2.5
1953-06-01			2.820	2.5
1953-07-01			2.820	2.6
1953-08-01			2.820	2.7
1953-09-01			2.820	2.9
1953-10-01			2.820	3.1
1953-11-01			2.820	3.5
1953-12-01			2.820	4.5
1954-01-01			2.820	4.9
1954-02-01			2.820	5.2
1954-03-01			2.820	5.7
1954-04-01			2.820	5.9
1954-05-01			2.820	5.9
1954-06-01			2.820	5.6
1954-07-01	0.80		2.820	5.8
1954-08-01	1.22		2.820	6.0
1954-09-01	1.06		2.820	6.1
1954-10-01	0.85		2.820	5.7
1954-11-01	0.83		2.820	5.3
1954-12-01	1.28		2.820	5.0
1955-01-01	1.39		2.820	4.9
1955-02-01	1.29		2.820	4.7
1955-03-01	1.35		2.820	4.6
1955-04-01	1.43		2.820	4.7
1955-05-01	1.43		2.820	4.3
1955-06-01	1.64		2.820	4.2
1955-07-01	1.68		2.820	4.0
1955-08-01	1.96		2.820	4.2
1955-09-01	2.18		2.820	4.1
1955-10-01	2.24		2.820	4.3
1955-11-01	2.35		2.820	4.2
1955-12-01	2.48		2.820	4.2
1956-01-01	2.45		2.820	4.0
1956-02-01	2.50		2.820	3.9
1956-03-01	2.50		2.820	4.2
1956-04-01	2.62		2.820	4.0
1956-05-01	2.75		2.820	4.3
1956-06-01	2.71		2.820	4.3
1956-07-01	2.75		2.820	4.4
1956-08-01	2.73		2.820	4.1
1956-09-01	2.95		2.820	3.9
1956-10-01	2.96		2.820	3.9
1956-11-01	2.88		2.820	4.3
1956-12-01	2.94		2.820	4.2
1957-01-01	2.84		2.820	4.2
1957-02-01	3.00		3.070	3.9
1957-03-01	2.96		3.070	3.7
1957-04-01	3.00		3.070	3.9
1957-05-01	3.00		3.070	4.1
1957-06-01	3.00		3.070	4.3
1957-07-01	2.99		3.070	4.2
1957-08-01	3.24		3.070	4.1
1957-09-01	3.47		3.070	4.4
1957-10-01	3.50		3.070	4.5
1957-11-01	3.28		3.070	5.1
1957-12-01	2.98		3.000	5.2
1958-01-01	2.72		3.070	5.8
1958-02-01	1.67		3.070	6.4
1958-03-01	1.20		3.070	6.7
1958-04-01	1.26		3.070	7.4
1958-05-01	0.63		3.070	7.4
1958-06-01	0.93		3.070	7.3
1958-07-01	0.68		3.070	7.5
1958-08-01	1.53		3.070	7.4
1958-09-01	1.76		3.070	7.1
1958-10-01	1.80		3.070	6.7
1958-11-01	2.27		3.000	6.2
1958-12-01	2.42		3.000	6.2
1959-01-01	2.48		3.000	6.0
1959-02-01	2.43		3.000	5.9
1959-03-01	2.80		2.970	5.6
1959-04-01	2.96		2.970	5.2
1959-05-01	2.90		2.970	5.1
1959-06-01	3.39		2.970	5.0
1959-07-01	3.47		2.970	5.1
1959-08-01	3.50		2.970	5.2
1959-09-01	3.76		2.970	5.5
1959-10-01	3.98		2.970	5.7
1959-11-01	4.00		2.970	5.8
1959-12-01	3.99		2.970	5.3
1960-01-01	3.99		2.970	5.2
1960-02-01	3.97		2.970	4.8
1960-03-01	3.84		2.970	5.4
1960-04-01	3.92		2.970	5.2
1960-05-01	3.85		2.970	5.1
1960-06-01	3.32		2.970	5.4
1960-07-01	3.23		2.970	5.5
1960-08-01	2.98		2.970	5.6
1960-09-01	2.60		2.970	5.5
1960-10-01	2.47		2.970	6.1
1960-11-01	2.44		2.970	6.1
1960-12-01	1.98		2.970	6.6
1961-01-01	1.45		2.970	6.6
1961-02-01	2.54		2.970	6.9
1961-03-01	2.02		2.970	6.9
1961-04-01	1.49		2.970	7.0
1961-05-01	1.98		2.970	7.1
1961-06-01	1.73		2.970	6.9
1961-07-01	1.17		2.970	7.0
1961-08-01	2.00		2.970	6.6
1961-09-01	1.88		2.970	6.7
1961-10-01	2.26		2.970	6.5
1961-11-01	2.61		2.970	6.1
1961-12-01	2.33		2.970	6.0
1962-01-01	2.15		2.970	5.8
1962-02-01	2.37		2.970	5.5
1962-03-01	2.85		2.970	5.6
1962-04-01	2.78		2.970	5.6
1962-05-01	2.36		2.970	5.5
1962-06-01	2.68		2.970	5.5
1962-07-01	2.71		2.970	5.4
1962-08-01	2.93		2.970	5.7
1962-09-01	2.90		2.970	5.6
1962-10-01	2.90		2.970	5.4
1962-11-01	2.94		2.970	5.7
1962-12-01	2.93		2.970	5.5
1963-01-01	2.92		2.970	5.7
1963-02-01	3.00		2.970	5.9
1963-03-01	2.98		2.970	5.7
1963-04-01	2.90		2.970	5.7
1963-05-01	3.00		2.970	5.9
1963-06-01	2.99		2.970	5.6
1963-07-01	3.02		2.970	5.6
1963-08-01	3.49		2.970	5.4
1963-09-01	3.48		2.970	5.5
1963-10-01	3.50		2.970	5.5
1963-11-01	3.48		2.970	5.7
1963-12-01	3.38		2.970	5.5
1964-01-01	3.48		2.970	5.6
1964-02-01	3.48		2.970	5.4
1964-03-01	3.43		2.970	5.4
1964-04-01	3.47		2.970	5.3
1964-05-01	3.50		2.970	5.1
1964-06-01	3.50		2.970	5.2
1964-07-01	3.42		2.920	4.9
1964-08-01	3.50		2.920	5.0
1964-09-01	3.45		2.920	5.1
1964-10-01	3.36		2.920	5.1
1964-11-01	3.52		2.920	4.8
1964-12-01	3.85		2.920	5.0
1965-01-01	3.90		2.920	4.9
1965-02-01	3.98		2.920	5.1
1965-03-01	4.04		2.920	4.7
1965-04-01	4.09		2.920	4.8
1965-05-01	4.10		2.920	4.6
1965-06-01	4.04		2.920	4.6
1965-07-01	4.09		2.920	4.4
1965-08-01	4.12		2.920	4.4
1965-09-01	4.01		2.920	4.3
1965-10-01	4.08		2.920	4.2
1965-11-01	4.10		2.920	4.1
1965-12-01	4.32		2.920	4.0
1966-01-01	4.42		2.920	4.0
1966-02-01	4.60		2.920	3.8
1966-03-01	4.65		2.920	3.8
1966-04-01	4.67		2.920	3.8
1966-05-01	4.90		2.920	3.9
1966-06-01	5.17		2.920	3.8
1966-07-01	5.30		2.920	3.8
1966-08-01	5.53		2.920	3.8
1966-09-01	5.40		2.970	3.7
1966-10-01	5.53		2.970	3.7
1966-11-01	5.76		2.970	3.6
1966-12-01	5.40		2.970	3.8
1967-01-01	4.94		2.970	3.9
1967-02-01	5.00		3.000	3.8
1967-03-01	4.53		3.000	3.8
1967-04-01	4.05		3.000	3.8
1967-05-01	3.94		3.000	3.8
1967-06-01	3.98		3.000	3.9
1967-07-01	3.79		3.000	3.8
1967-08-01	3.90		3.070	3.8
1967-09-01	3.99		3.070	3.8
1967-10-01	3.88		3.070	4.0
1967-11-01	4.13		3.070	3.9
1967-12-01	4.51		3.070	3.8
1968-01-01	4.60		3.070	3.7
1968-02-01	4.71		3.070	3.8
1968-03-01	5.05		3.070	3.7
1968-04-01	5.76		3.070	3.5
1968-05-01	6.11		3.070	3.5
1968-06-01	6.07		3.070	3.7
1968-07-01	6.02		3.070	3.7
1968-08-01	6.03		3.070	3.5
1968-09-01	5.78		3.070	3.4
1968-10-01	5.91		3.070	3.4
1968-11-01	5.82		3.070	3.4
1968-12-01	6.02		3.070	3.4
1969-01-01	6.30		3.070	3.4
1969-02-01	6.61		3.070	3.4
1969-03-01	6.79		3.250	3.4
1969-04-01	7.41		3.350	3.4
1969-05-01	8.67		3.350	3.4
1969-06-01	8.90		3.350	3.5
1969-07-01	8.61		3.350	3.5
1969-08-01	9.19		3.350	3.5
1969-09-01	9.15		3.350	3.7
1969-10-01	9.00		3.350	3.7
1969-11-01	8.85		3.350	3.5
1969-12-01	8.97		3.350	3.5
1970-01-01	8.98		3.350	3.9
1970-02-01	8.98		3.350	4.2
1970-03-01	7.76		3.350	4.4
1970-04-01	8.10		3.350	4.6
1970-05-01	7.94		3.350	4.8
1970-06-01	7.60		3.350	4.9
1970-07-01	7.21		3.310	5.0
1970-08-01	6.61		3.310	5.1
1970-09-01	6.29		3.310	5.4
1970-10-01	6.20		3.310	5.5
1970-11-01	5.60		3.310	5.9
1970-12-01	4.90		3.560	6.1
1971-01-01	4.14		3.560	5.9
1971-02-01	3.72		3.560	5.9
1971-03-01	3.71		3.560	6.0
1971-04-01	4.15		3.560	5.9
1971-05-01	4.63		3.560	5.9
1971-06-01	4.91		3.560	5.9
1971-07-01	5.31		3.560	6.0
1971-08-01	5.56		3.560	6.1
1971-09-01	5.55		3.560	6.0
1971-10-01	5.20		3.560	5.8
1971-11-01	4.91		3.560	6.0
1971-12-01	4.14		3.560	6.0
1972-01-01	3.50		3.560	5.8
1972-02-01	3.29		3.560	5.7
1972-03-01	3.83		3.560	5.8
1972-04-01	4.17		3.560	5.7
1972-05-01	4.27		3.560	5.7
1972-06-01	4.46		3.560	5.7
1972-07-01	4.55		3.560	5.6
1972-08-01	4.80		3.560	5.6
1972-09-01	4.87		3.560	5.5
1972-10-01	5.04		3.560	5.6
1972-11-01	5.06		3.560	5.3
1972-12-01	5.33		3.560	5.2
1973-01-01	5.94		3.560	4.9
1973-02-01	6.58		3.560	5.0
1973-03-01	7.09		3.560	4.9
1973-04-01	7.12		3.560	5.0
1973-05-01	7.84		3.560	4.9
1973-06-01	8.49		3.560	4.9
1973-07-01	10.40		3.560	4.8
1973-08-01	10.50		4.310	4.8
1973-09-01	10.78		4.310	4.8
1973-10-01	10.01		4.310	4.6
1973-11-01	10.03		4.310	4.8
1973-12-01	9.95		4.310	4.9
1974-01-01	9.65		10.110	5.1
1974-02-01	8.97		10.110	5.2
1974-03-01	9.35		10.110	5.1
1974-04-01	10.51		10.110	5.1
1974-05-01	11.31		10.110	5.1
1974-06-01	11.93		10.110	5.4
1974-07-01	12.92		10.110	5.5
1974-08-01	12.01		10.110	5.5
1974-09-01	11.34		10.110	5.9
1974-10-01	10.06		11.160	6.0
1974-11-01	9.45		11.160	6.6
1974-12-01	8.53		11.160	7.2
1975-01-01	7.13		11.160	8.1
1975-02-01	6.24		11.160	8.1
1975-03-01	5.54		11.160	8.6
1975-04-01	5.49		11.160	8.8
1975-05-01	5.22		11.160	9.0
1975-06-01	5.55		11.160	8.8
1975-07-01	6.10		11.160	8.6
1975-08-01	6.14		11.160	8.4
1975-09-01	6.24		11.160	8.4
1975-10-01	5.82		11.160	8.4
1975-11-01	5.22		11.160	8.3
1975-12-01	5.20		11.160	8.2
1976-01-01	4.87		11.160	7.9
1976-02-01	4.77		12.030	7.7
1976-03-01	4.84		12.100	7.6
1976-04-01	4.82		12.170	7.7
1976-05-01	5.29		12.170	7.4
1976-06-01	5.48		12.170	7.6
1976-07-01	5.31		12.170	7.8
1976-08-01	5.29		12.170	7.8
1976-09-01	5.25		13.900	7.6
1976-10-01	5.02		13.900	7.7
1976-11-01	4.95		13.900	7.8
1976-12-01	4.65		13.900	7.8
1977-01-01	4.61		13.900	7.5
1977-02-01	4.68		13.900	7.6
1977-03-01	4.69		13.900	7.4
1977-04-01	4.73		13.900	7.2
1977-05-01	5.35		13.900	7.0
1977-06-01	5.39		13.900	7.2
1977-07-01	5.42		13.900	6.9
1977-08-01	5.90		14.850	7.0
1977-09-01	6.14		14.850	6.8
1977-10-01	6.47		14.850	6.8
1977-11-01	6.51		14.850	6.8
1977-12-01	6.56		14.850	6.4
1978-01-01	6.70		14.850	6.4
1978-02-01	6.78		14.850	6.3
1978-03-01	6.79		14.850	6.3
1978-04-01	6.89		14.850	6.1
1978-05-01	7.36		14.850	6.0
1978-06-01	7.60		14.850	5.9
1978-07-01	7.81		14.850	6.2
1978-08-01	8.04		14.850	5.9
1978-09-01	8.45		14.850	6.0
1978-10-01	8.96		14.850	5.8
1978-11-01	9.76		14.850	5.9
1978-12-01	10.03		14.850	6.0
1979-01-01	10.07		14.850	5.9
1979-02-01	10.06		15.850	5.9
1979-03-01	10.09		15.850	5.8
1979-04-01	10.01		15.850	5.8
1979-05-01	10.24		18.100	5.6
1979-06-01	10.29		19.100	5.7
1979-07-01	10.47		21.750	5.7
1979-08-01	10.94		26.500	6.0
1979-09-01	11.43		28.500	5.9
1979-10-01	13.77		29.000	6.0
1979-11-01	13.18		31.000	5.9
1979-12-01	13.78		32.500	6.0
1980-01-01	13.82		32.500	6.3
1980-02-01	14.13		37.000	6.3
1980-03-01	17.19		38.000	6.3
1980-04-01	17.61		39.500	6.9
1980-05-01	10.98		39.500	7.5
1980-06-01	9.47		39.500	7.6
1980-07-01	9.03		39.500	7.8
1980-08-01	9.61		38.000	7.7
1980-09-01	10.87		36.000	7.5
1980-10-01	12.81		36.000	7.5
1980-11-01	15.85		36.000	7.5
1980-12-01	18.90		37.000	7.2
1981-01-01	19.08		38.000	7.5
1981-02-01	15.93		38.000	7.4
1981-03-01	14.70		38.000	7.4
1981-04-01	15.72		38.000	7.2
1981-05-01	18.52		38.000	7.5
1981-06-01	19.10		36.000	7.5
1981-07-01	19.04		36.000	7.2
1981-08-01	17.82		36.000	7.4
1981-09-01	15.87		36.000	7.6
1981-10-01	15.08		35.000	7.9
1981-11-01	13.31		36.000	8.3
1981-12-01	12.37		35.000	8.5
1982-01-01	13.22		33.850	8.6
1982-02-01	14.78		31.560	8.9
1982-03-01	14.68		28.480	9.0
1982-04-01	14.94		33.450	9.3
1982-05-01	14.45		35.930	9.4
1982-06-01	14.15		35.070	9.6
1982-07-01	12.59		34.160	9.8
1982-08-01	10.12		33.950	9.8
1982-09-01	10.31		35.630	10.1
1982-10-01	9.71		35.680	10.4
1982-11-01	9.20		34.150	10.8
1982-12-01	8.95		31.720	10.8
1983-01-01	8.68		31.190	10.4
1983-02-01	8.51		28.950	10.4
1983-03-01	8.77		28.820	10.3
1983-04-01	8.80		30.610	10.2
1983-05-01	8.63		30.000	10.1
1983-06-01	8.98		31.000	10.1
1983-07-01	9.37		31.660	9.4
1983-08-01	9.56		31.910	9.5
1983-09-01	9.45		31.110	9.2
1983-10-01	9.48		30.410	8.8
1983-11-01	9.34		29.840	8.5
1983-12-01	9.47		29.240	8.3
1984-01-01	9.56		29.690	8.0
1984-02-01	9.59		30.145	7.8
1984-03-01	9.91		30.761	7.8
1984-04-01	10.29		30.618	7.7
1984-05-01	10.32		30.520	7.4
1984-06-01	11.06		29.967	7.2
1984-07-01	11.23		28.752	7.5
1984-08-01	11.64		29.250	7.5
1984-09-01	11.30		29.311	7.3
1984-10-01	9.99		28.765	7.4
1984-11-01	9.43		28.098	7.2
1984-12-01	8.38		25.429	7.3
1985-01-01	8.35		25.641	7.3
1985-02-01	8.50		27.271	7.2
1985-03-01	8.58		28.238	7.2
1985-04-01	8.27		28.805	7.3
1985-05-01	7.97		27.623	7.2
1985-06-01	7.53		27.143	7.4
1985-07-01	7.88		27.329	7.4
1985-08-01	7.90		27.755	7.1
1985-09-01	7.92		28.289	7.1
1985-10-01	7.99		29.538	7.1
1985-11-01	8.05		30.813	7.0
1985-12-01	8.27		27.228	7.0
1986-01-01	8.14	22.93	22.945	6.7
1986-02-01	7.86	15.46	15.442	7.2
1986-03-01	7.48	12.61	12.618	7.2
1986-04-01	6.99	12.84	12.847	7.1
1986-05-01	6.85	15.38	15.444	7.2
1986-06-01	6.92	13.43	13.469	7.2
1986-07-01	6.56	11.59	11.575	7.0
1986-08-01	6.17	15.10	15.092	6.9
1986-09-01	5.89	14.87	14.913	7.0
1986-10-01	5.85	14.90	14.852	7.0
1986-11-01	6.04	15.22	15.207	6.9
1986-12-01	6.91	16.11	16.076	6.6
1987-01-01	6.43	18.65	18.656	6.6
1987-02-01	6.10	17.75	17.726	6.6
1987-03-01	6.13	18.30	18.305	6.6
1987-04-01	6.37	18.68	18.643	6.3
1987-05-01	6.85	19.44	19.415	6.3
1987-06-01	6.73	20.07	20.034	6.2
1987-07-01	6.58	21.34	21.355	6.1
1987-08-01	6.73	20.31	20.274	6.0
1987-09-01	7.22	19.53	19.526	5.9
1987-10-01	7.29	19.86	19.848	6.0
1987-11-01	6.69	18.85	18.920	5.8
1987-12-01	6.77	17.28	17.241	5.7
1988-01-01	6.83	17.13	17.160	5.7
1988-02-01	6.58	16.80	16.765	5.7
1988-03-01	6.58	16.20	16.217	5.7
1988-04-01	6.87	17.86	17.875	5.4
1988-05-01	7.09	17.42	17.438	5.6
1988-06-01	7.51	16.53	16.530	5.4
1988-07-01	7.75	15.50	15.498	5.4
1988-08-01	8.01	15.52	15.524	5.6
1988-09-01	8.19	14.54	14.467	5.4
1988-10-01	8.30	13.77	13.798	5.4
1988-11-01	8.35	14.14	13.977	5.3
1988-12-01	8.76	16.38	16.266	5.3
1989-01-01	9.12	18.02	17.983	5.4
1989-02-01	9.36	17.94	17.826	5.2
1989-03-01	9.85	19.48	19.445	5.0
1989-04-01	9.84	21.07	21.040	5.2
1989-05-01	9.81	20.12	20.032	5.2
1989-06-01	9.53	20.05	20.005	5.3
1989-07-01	9.24	19.78	19.644	5.2
1989-08-01	8.99	18.58	18.522	5.2
1989-09-01	9.02	19.59	19.594	5.3
1989-10-01	8.84	20.10	20.091	5.3
1989-11-01	8.55	19.86	19.820	5.4
1989-12-01	8.45	21.10	21.088	5.4
1990-01-01	8.23	22.86	22.641	5.4
1990-02-01	8.24	22.11	22.108	5.3
1990-03-01	8.28	20.39	20.418	5.2
1990-04-01	8.26	18.43	18.582	5.4
1990-05-01	8.18	18.20	18.237	5.4
1990-06-01	8.29	16.70	16.871	5.2
1990-07-01	8.15	18.45	18.638	5.5
1990-08-01	8.13	27.31	27.174	5.7
1990-09-01	8.20	33.51	33.687	5.9
1990-10-01	8.11	36.04	35.922	5.9
1990-11-01	7.81	32.33	32.300	6.2
1990-12-01	7.31	27.28	27.337	6.3
1991-01-01	6.91	25.23	24.959	6.4
1991-02-01	6.25	20.48	20.523	6.6
1991-03-01	6.12	19.90	19.860	6.8
1991-04-01	5.91	20.83	20.823	6.7
1991-05-01	5.78	21.23	21.240	6.9
1991-06-01	5.90	20.19	20.195	6.9
1991-07-01	5.82	21.40	21.420	6.8
1991-08-01	5.66	21.69	21.688	6.9
1991-09-01	5.45	21.89	21.857	6.9
1991-10-01	5.21	23.23	23.228	7.0
1991-11-01	4.81	22.46	22.465	7.0
1991-12-01	4.43	19.50	19.517	7.3
1992-01-01	4.03	18.79	18.820	7.3
1992-02-01	4.06	19.01	18.995	7.4
1992-03-01	3.98	18.92	18.916	7.4
1992-04-01	3.73	20.23	20.243	7.4
1992-05-01	3.82	20.98	20.940	7.6
1992-06-01	3.76	22.39	22.375	7.8
1992-07-01	3.25	21.78	21.759	7.7
1992-08-01	3.30	21.34	21.350	7.6
1992-09-01	3.22	21.88	21.902	7.6
1992-10-01	3.10	21.69	21.688	7.3
1992-11-01	3.09	20.34	20.342	7.4
1992-12-01	2.92	19.41	19.407	7.4
1993-01-01	3.02	19.03	19.075	7.3
1993-02-01	3.03	20.09	20.053	7.1
1993-03-01	3.07	20.32	20.347	7.0
1993-04-01	2.96	20.25	20.270	7.1
1993-05-01	3.00	19.95	19.940	7.1
1993-06-01	3.04	19.09	19.070	7.0
1993-07-01	3.06	17.89	17.866	6.9
1993-08-01	3.03	18.01	18.009	6.8
1993-09-01	3.09	17.50	17.514	6.7
1993-10-01	2.99	18.15	18.145	6.8
1993-11-01	3.02	16.61	16.699	6.6
1993-12-01	2.96	14.52	14.510	6.5
1994-01-01	3.05	15.03	15.000	6.6
1994-02-01	3.25	14.78	14.780	6.6
1994-03-01	3.34	14.68	14.660	6.5
1994-04-01	3.56	16.42	16.380	6.4
1994-05-01	4.01	17.89	17.880	6.1
1994-06-01	4.25	19.06	19.070	6.1
1994-07-01	4.26	19.66	19.650	6.1
1994-08-01	4.47	18.38	18.380	6.0
1994-09-01	4.73	17.45	17.460	5.9
1994-10-01	4.76	17.72	17.710	5.8
1994-11-01	5.29	18.07	18.100	5.6
1994-12-01	5.45	17.16	17.160	5.5
1995-01-01	5.53	18.04	17.990	5.6
1995-02-01	5.92	18.57	18.530	5.4
1995-03-01	5.98	18.54	18.550	5.4
1995-04-01	6.05	19.90	19.870	5.8
1995-05-01	6.01	19.74	19.740	5.6
1995-06-01	6.00	18.45	18.420	5.6
1995-07-01	5.85	17.33	17.300	5.7
1995-08-01	5.74	18.02	18.030	5.7
1995-09-01	5.80	18.23	18.230	5.6
1995-10-01	5.76	17.43	17.440	5.5
1995-11-01	5.80	17.99	17.990	5.6
1995-12-01	5.60	19.03	19.040	5.6
1996-01-01	5.56	18.86	18.880	5.6
1996-02-01	5.22	19.09	19.070	5.5
1996-03-01	5.31	21.33	21.360	5.5
1996-04-01	5.22	23.50	23.570	5.6
1996-05-01	5.24	21.17	21.250	5.6
1996-06-01	5.27	20.42	20.450	5.3
1996-07-01	5.40	21.30	21.320	5.5
1996-08-01	5.22	21.90	21.960	5.1
1996-09-01	5.30	23.97	23.990	5.2
1996-10-01	5.24	24.88	24.900	5.2
1996-11-01	5.31	23.71	23.710	5.4
1996-12-01	5.29	25.23	25.390	5.4
1997-01-01	5.25	25.13	25.170	5.3
1997-02-01	5.19	22.18	22.210	5.2
1997-03-01	5.39	20.97	20.990	5.2
1997-04-01	5.51	19.70	19.720	5.1
1997-05-01	5.50	20.82	20.830	4.9
1997-06-01	5.56	19.26	19.170	5.0
1997-07-01	5.52	19.66	19.630	4.9
1997-08-01	5.54	19.95	19.930	4.8
1997-09-01	5.54	19.80	19.790	4.9
1997-10-01	5.50	21.33	21.260	4.7
1997-11-01	5.52	20.19	20.170	4.6
1997-12-01	5.50	18.33	18.320	4.7
1998-01-01	5.56	16.72	16.710	4.6
1998-02-01	5.51	16.06	16.060	4.6
1998-03-01	5.49	15.12	15.020	4.7
1998-04-01	5.45	15.35	15.440	4.3
1998-05-01	5.49	14.91	14.860	4.4
1998-06-01	5.56	13.72	13.660	4.5
1998-07-01	5.54	14.17	14.080	4.5
1998-08-01	5.55	13.47	13.360	4.5
1998-09-01	5.51	15.03	14.950	4.6
1998-10-01	5.07	14.46	14.390	4.5
1998-11-01	4.83	13.00	12.850	4.4
1998-12-01	4.68	11.35	11.280	4.4
1999-01-01	4.63	12.52	12.470	4.3
1999-02-01	4.76	12.01	12.010	4.4
1999-03-01	4.81	14.68	14.660	4.2
1999-04-01	4.74	17.31	17.340	4.3
1999-05-01	4.74	17.72	17.750	4.2
1999-06-01	4.76	17.92	17.890	4.3
1999-07-01	4.99	20.10	20.070	4.3
1999-08-01	5.07	21.28	21.260	4.2
1999-09-01	5.22	23.80	23.880	4.2
1999-10-01	5.20	22.69	22.640	4.1
1999-11-01	5.42	25.00	24.970	4.1
1999-12-01	5.30	26.10	26.080	4.0
2000-01-01	5.45	27.26	27.180	4.0
2000-02-01	5.73	29.37	29.350	4.1
2000-03-01	5.85	29.84	29.890	4.0
2000-04-01	6.02	25.72	25.740	3.8
2000-05-01	6.27	28.79	28.780	4.0
2000-06-01	6.53	31.82	31.830	4.0
2000-07-01	6.54	29.70	29.770	4.0
2000-08-01	6.50	31.26	31.220	4.1
2000-09-01	6.52	33.88	33.880	3.9
2000-10-01	6.51	33.11	33.080	3.9
2000-11-01	6.51	34.42	34.400	3.9
2000-12-01	6.40	28.44	28.460	3.9
2001-01-01	5.98	29.59	29.580	4.2
2001-02-01	5.49	29.61	29.610	4.2
2001-03-01	5.31	27.25	27.240	4.3
2001-04-01	4.80	27.49	27.410	4.4
2001-05-01	4.21	28.63	28.640	4.3
2001-06-01	3.97	27.60	27.600	4.5
2001-07-01	3.77	26.43	26.450	4.6
2001-08-01	3.65	27.37	27.470	4.9
2001-09-01	3.07	26.20	25.880	5.0
2001-10-01	2.49	22.17	22.210	5.3
2001-11-01	2.09	19.64	19.670	5.5
2001-12-01	1.82	19.39	19.330	5.7
2002-01-01	1.73	19.72	19.670	5.7
2002-02-01	1.74	20.72	20.740	5.7
2002-03-01	1.73	24.53	24.420	5.7
2002-04-01	1.75	26.18	26.270	5.9
2002-05-01	1.75	27.04	27.020	5.8
2002-06-01	1.75	25.52	25.520	5.8
2002-07-01	1.73	26.97	26.940	5.8
2002-08-01	1.74	28.39	28.380	5.7
2002-09-01	1.75	29.66	29.670	5.7
2002-10-01	1.75	28.84	28.850	5.7
2002-11-01	1.34	26.35	26.270	5.9
2002-12-01	1.24	29.46	29.420	6.0
2003-01-01	1.24	32.95	32.940	5.8
2003-02-01	1.26	35.83	35.870	5.9
2003-03-01	1.25	33.51	33.550	5.9
2003-04-01	1.26	28.17	28.250	6.0
2003-05-01	1.26	28.11	28.140	6.1
2003-06-01	1.22	30.66	30.720	6.3
2003-07-01	1.01	30.76	30.760	6.2
2003-08-01	1.03	31.57	31.590	6.1
2003-09-01	1.01	28.31	28.290	6.1
2003-10-01	1.01	30.34	30.330	6.0
2003-11-01	1.00	31.11	31.090	5.8
2003-12-01	0.98	32.13	32.150	5.7
2004-01-01	1.00	34.31	34.270	5.7
2004-02-01	1.01	34.69	34.740	5.6
2004-03-01	1.00	36.74	36.760	5.8
2004-04-01	1.00	36.75	36.690	5.6
2004-05-01	1.00	40.28	40.280	5.6
2004-06-01	1.03	38.03	38.020	5.6
2004-07-01	1.26	40.78	40.690	5.5
2004-08-01	1.43	44.90	44.940	5.4
2004-09-01	1.61	45.94	45.950	5.4
2004-10-01	1.76	53.28	53.130	5.5
2004-11-01	1.93	48.47	48.460	5.4
2004-12-01	2.16	43.15	43.330	5.4
2005-01-01	2.28	46.84	46.840	5.3
2005-02-01	2.50	48.15	47.970	5.4
2005-03-01	2.63	54.19	54.310	5.2
2005-04-01	2.79	52.98	53.040	5.2
2005-05-01	3.00	49.83	49.830	5.1
